Feature,Importance_abs_mean
Sales_lag_14,0.09819988179385543
DaysToNextPromo,0.06913093330776877
Sales_rolling_7d,0.059046569498097605
Sales_rolling_30d,0.05612053109226726
Sales_lag_1,0.04693819107646858
Sales_lag_28,0.04499406772674164
Promo_active,0.03574086261903953
Sales_lag_7,0.03347675374913736
DaysSinceLastHoliday,0.02413605746620183
DaysSinceLastPromo,0.022449338487443002
DaysToNextHoliday,0.01745244295297634
DoW_1,0.007411052748113589
IsSchoolHoliday,0.0046318440513911045
Month_3,0.004502884655997274
StoreType_a,0.004139648542774924
IsPromo2Active,0.0036527523551900527
Month_4,0.0036180645610874437
Month_1,0.0033864725357414275
DoW_5,0.0031168253271833873
DoW_6,0.002863336110302815
Month_11,0.002506763359058452
Month_9,0.002156594213650228
Promo_lag_1,0.002147379028842849
CompetitionDistance,0.0018565384043695752
Month_2,0.001642251554074614
DoW_2,0.0015476068971362665
Month_7,0.001387245598888054
Month_5,0.001303502010313889
DoW_3,0.0012569104328527094
DoW_4,0.0010649594331957654
Month_6,0.00099562188046422
CompetitionYears,0.0009242639349872075
Month_8,0.0009220060969787578
Assortment_a,0.0006929677563306915
StoreType_b,0.0006774102965916011
Assortment_c,0.0006150519336698971
StoreType_d,0.0006101012114175985
Promo2,0.0005453385744649743
Month_10,0.0004318229088878535
Assortment_b,0.00037799045863292784
IsStateHoliday,0.00014886747853390966
StoreType_c,8.701536682763763e-05
